OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
1,LINK-000067,Bronx,POINT (-73.89305857941987 40.86020671121296),205,40.860215,-73.89306,Not Ready for CX,A - Link Live,116218,2461 Webster Ave,108 E,NY-BX,04/28/2016 12:00:00 AM +0000,bx-05-116218
2,LINK-000072,Bronx,POINT (-73.89802157715471 40.86134071064604),205,40.861349,-73.898023,Not Ready for CX,A - Link Live,119575,2437 Grand Concourse,100 E,NY-BX,06/27/2016 12:00:00 AM +0000,bx-05-119575
3,LINK-000074,Bronx,POINT (-73.89857957649994 40.86164671098548),205,40.861655,-73.898581,Not Ready for CX,A - Link Live,119587,150 E 188St,9 N,NY-BX,04/28/2016 12:00:00 AM +0000,bx-05-119587
4,LINK-000076,Bronx,POINT (-73.89855157737625 40.85914471095069),205,40.859153,-73.898553,Not Ready for CX,A - Link Live,119628,2366-2370 Grand Concourse,338 N,NY-BX,04/28/2016 12:00:00 AM +0000,bx-05-119628
5,LINK-000092,Manhattan,POINT (-73.98336255615456 40.76581973222473),105,40.765828,-73.983364,CX Complete / Link Installed,A - Link Live,122622,944 8 Avenue,335 NW,NY-MN,07/19/2016 12:00:00 AM +0000,mn-05-122622
6,LINK-000111,Manhattan,POINT (-73.98198855543154 40.76616673199865),105,40.766175,-73.98199,Not Ready for CX,A - Link Live,122522,250 West 57St,42 NE,NY-MN,05/26/2016 12:00:00 AM +0000,mn-05-122522
7,LINK-000130,Manhattan,POINT (-73.9883975553255 40.746615735854895),105,40.746624,-73.988399,Not Ready for CX,A - Link Live,122180,1216 Broadway,227 SW,NY-MN,04/10/2016 12:00:00 AM +0000,mn-05-122180
8,LINK-000141,Manhattan,POINT (-73.98800455532746 40.749654735680735),105,40.749663,-73.988006,Not Ready for CX,A - Link Live,122369,1293 Broadway,99 E,NY-MN,04/28/2016 12:00:00 AM +0000,mn-05-122369
9,LINK-000155,Manhattan,POINT (-73.9869395545788 40.7544857348201),105,40.754494,-73.986941,Not Ready for CX,A - Link Live,122169,1431 Broadway,112 E,NY-MN,07/22/2016 12:00:00 AM +0000,mn-05-122169
10,LINK-000158,Manhattan,POINT (-73.9863615554171 40.75483773482042),105,40.754846,-73.986363,Not Ready for CX,A - Link Live,122171,1450 Broadway,4 N,NY-MN,07/22/2016 12:00:00 AM +0000,mn-05-122171
11,LINK-000162,Manhattan,POINT (-73.98453955447101 40.760404733603025),105,40.760413,-73.984541,Not Ready for CX,A - Link Live,133361,1600 Broadway,296 NW,NY-MN,05/14/2016 12:00:00 AM +0000,mn-05-133361
12,LINK-000163,Manhattan,POINT (-73.98486555468314 40.76026073397191),105,40.760269,-73.984867,Not Ready for CX,A - Link Live,134185,1605 Broadway,147 SE,NY-MN,05/14/2016 12:00:00 AM +0000,mn-05-134185
13,LINK-000164,Manhattan,POINT (-73.98441855554798 40.76063773277379),105,40.760646,-73.98442,Not Ready for CX,A - Link Live,122088,1606 Broadway,316 NW,NY-MN,04/30/2016 12:00:00 AM +0000,mn-05-122088
14,LINK-000165,Manhattan,POINT (-73.98423255601392 40.760613733333024),105,40.760622,-73.984234,Not Ready for CX,A - Link Live,133511,1606 Broadway,5 N,NY-MN,04/30/2016 12:00:00 AM +0000,mn-05-133511
15,LINK-000166,Manhattan,POINT (-73.98464055452644 40.76071173273394),105,40.76072,-73.984642,Not Ready for CX,A - Link Live,134155,1611 Broadway,101 E,NY-MN,05/26/2016 12:00:00 AM +0000,mn-05-134155
16,LINK-000168,Manhattan,POINT (-73.9842765560436 40.760874732588576),105,40.760883,-73.984278,Not Ready for CX,A - Link Live,133508,1626 Broadway,341 N,NY-MN,05/26/2016 12:00:00 AM +0000,mn-05-133508
17,LINK-000177,Manhattan,POINT (-73.98263655653724 40.7639727327555),105,40.763981,-73.982638,Not Ready for CX,A - Link Live,122541,1701 Broadway,99 E,NY-MN,04/30/2016 12:00:00 AM +0000,mn-05-122541
18,LINK-000178,Manhattan,POINT (-73.98230855611402 40.76411873292033),105,40.764127,-73.98231,Not Ready for CX,A - Link Live,122529,1710 Broadway,306 NW,NY-MN,04/15/2016 12:00:00 AM +0000,mn-05-122529
19,LINK-000180,Manhattan,POINT (-73.98238355591701 40.764667733133926),105,40.764676,-73.982385,Not Ready for CX,A - Link Live,122532,1725 Broadway,107 E,NY-MN,05/14/2016 12:00:00 AM +0000,mn-05-122532
20,LINK-000185,Manhattan,POINT (-73.98777955444014 40.75007873598759),105,40.750087,-73.987781,Not Ready for CX,A - Link Live,122775,Herald Square,277 W,NY-MN,04/28/2016 12:00:00 AM +0000,mn-05-122775
21,LINK-000223,Manhattan,POINT (-73.98716055554023 40.7330987392186),103,40.733107,-73.987162,Not Ready for CX,A - Link Live,123265,123 3Rd Ave,309 NW,NY-MN,11/21/2015 12:00:00 AM +0000,mn-03-123265
22,LINK-000224,Manhattan,POINT (-73.9870425557709 40.73368573930659),106,40.733694,-73.987044,Not Ready for CX,A - Link Live,136486,130 3Rd Ave,135 SE,NY-MN,01/22/2016 12:00:00 AM +0000,mn-06-136486
23,LINK-000225,Manhattan,POINT (-73.98738255551471 40.733461738760404),106,40.73347,-73.987384,Not Ready for CX,A - Link Live,123261,133 East 14Th St,197 S,NY-MN,06/29/2016 12:00:00 AM +0000,mn-06-123261
24,LINK-000227,Manhattan,POINT (-73.98667355603529 40.73378573913629),106,40.733794,-73.986675,Not Ready for CX,A - Link Live,133896,141 3Rd Ave,312 NW,NY-MN,11/12/2015 12:00:00 AM +0000,mn-06-133896
25,LINK-000230,Manhattan,POINT (-73.98617855664398 40.73449073892525),106,40.734499,-73.98618,Not Ready for CX,A - Link Live,133339,165 3Rd Ave,300 NW,NY-MN,11/17/2015 12:00:00 AM +0000,mn-06-133339
26,LINK-000231,Manhattan,POINT (-73.9806265574425 40.74261673659963),106,40.742625,-73.980628,Not Ready for CX,A - Link Live,121495,154 E 29Th St,1 N,NY-MN,04/21/2016 12:00:00 AM +0000,mn-06-121495
27,LINK-000232,Manhattan,POINT (-73.97635155949496 40.74837873630009),106,40.748387,-73.976353,Not Ready for CX,A - Link Live,121521,155 East 38Th Street,83 E,NY-MN,02/12/2016 12:00:00 AM +0000,mn-06-121521
28,LINK-000233,Manhattan,POINT (-73.97651455926757 40.748281735603776),106,40.74829,-73.976516,Not Ready for CX,A - Link Live,136202,160 East 38Th Street,36 NE,NY-MN,02/01/2016 12:00:00 AM +0000,mn-06-136202
29,LINK-000235,Manhattan,POINT (-73.96913056142031 40.75826773323992),106,40.758276,-73.969132,Not Ready for CX,A - Link Live,134118,160 East 54Th,114 SE,NY-MN,02/03/2016 12:00:00 AM +0000,mn-06-134118
30,LINK-000240,Manhattan,POINT (-73.98288755668341 40.73952273792698),106,40.739531,-73.982889,Not Ready for CX,A - Link Live,121489,172 E 24Th St,7 N,NY-MN,04/21/2016 12:00:00 AM +0000,mn-06-121489
31,LINK-000241,Manhattan,POINT (-73.98626355613027 40.73476373897592),106,40.734772,-73.986265,Not Ready for CX,A - Link Live,133531,180 3Rd Ave,115 SE,NY-MN,11/21/2015 12:00:00 AM +0000,mn-06-133531
32,LINK-000242,Manhattan,POINT (-73.98584855752273 40.73534173824129),106,40.73535,-73.98585,Not Ready for CX,A - Link Live,133521,188 3Rd Ave,108 E,NY-MN,11/18/2015 12:00:00 AM +0000,mn-06-133521
33,LINK-000243,Manhattan,POINT (-73.98532055657613 40.7356177381299),106,40.735626,-73.985322,Not Ready for CX,A - Link Live,123634,203 3Rd Ave,305 NW,NY-MN,11/21/2015 12:00:00 AM +0000,mn-06-123634
34,LINK-000251,Manhattan,POINT (-73.97407755954369 40.75072073519557),106,40.750729,-73.974079,Not Ready for CX,A - Link Live,137072,201 East 42Nd St,229 SW,NY-MN,11/16/2015 12:00:00 AM +0000,mn-06-137072
35,LINK-000252,Manhattan,POINT (-73.96717556101025 40.76019873330453),106,40.760207,-73.967177,Not Ready for CX,A - Link Live,134218,201 East 57Th Street,220 SW,NY-MN,04/21/2016 12:00:00 AM +0000,mn-06-134218
36,LINK-000253,Manhattan,POINT (-73.98489855743087 40.736205737653265),106,40.736214,-73.9849,Not Ready for CX,A - Link Live,133527,205 3Rd Ave,301 NW,NY-MN,05/11/2016 12:00:00 AM +0000,mn-06-133527
37,LINK-000254,Manhattan,POINT (-73.98516955654411 40.735830738404744),106,40.735839,-73.985171,Not Ready for CX,A - Link Live,133890,205 3Rd Ave,284 W,NY-MN,01/26/2016 12:00:00 AM +0000,mn-06-133890
38,LINK-000256,Manhattan,POINT (-73.98512755660079 40.73632573759733),106,40.736334,-73.985129,Not Ready for CX,A - Link Live,133525,220 3Rd Ave,103 E,NY-MN,04/07/2016 12:00:00 AM +0000,mn-06-133525
39,LINK-000257,Manhattan,POINT (-73.98474955663046 40.73641873762241),106,40.736427,-73.984751,Not Ready for CX,A - Link Live,133440,233 3Rd Ave,315 NW,NY-MN,01/26/2016 12:00:00 AM +0000,mn-06-133440
40,LINK-000258,Manhattan,POINT (-73.98448455682662 40.73678073783274),106,40.736789,-73.984486,Not Ready for CX,A - Link Live,123822,243 3Rd Ave,315 NW,NY-MN,01/26/2016 12:00:00 AM +0000,mn-06-123822
41,LINK-000266,Manhattan,POINT (-73.9824225564652 40.74003273683663),106,40.740041,-73.982424,Not Ready for CX,A - Link Live,121501,336 3rd Ave,109 E,NY-MN,01/26/2016 12:00:00 AM +0000,mn-06-121501
42,LINK-000267,Manhattan,POINT (-73.98204155848696 40.73995573691457),106,40.739964,-73.982043,Not Ready for CX,A - Link Live,103457,337 3Rd Ave On E25Th St,21 N,NY-MN,06/27/2016 12:00:00 AM +0000,mn-06-103457
43,LINK-000269,Manhattan,POINT (-73.98238155729896 40.740237737350114),106,40.740246,-73.982383,Not Ready for CX,A - Link Live,138462,340 3Rd Ave,209 SW,NY-MN,04/21/2016 12:00:00 AM +0000,mn-06-138462
44,LINK-000272,Manhattan,POINT (-73.981727557448 40.74056473658467),106,40.740573,-73.981729,Not Ready for CX,A - Link Live,121539,355 3Rd Ave,300 NW,NY-MN,11/12/2015 12:00:00 AM +0000,mn-06-121539
45,LINK-000273,Manhattan,POINT (-73.98157455820912 40.74076673739247),106,40.740775,-73.981576,Not Ready for CX,A - Link Live,121499,359 3Rd Ave,315 NW,NY-MN,11/14/2015 12:00:00 AM +0000,mn-06-121499
46,LINK-000276,Manhattan,POINT (-73.9812955585054 40.74116073723487),106,40.741169,-73.981297,Not Ready for CX,A - Link Live,121498,371 3Rd Ave,332 NW,NY-MN,01/22/2016 12:00:00 AM +0000,mn-06-121498
47,LINK-000278,Manhattan,POINT (-73.98067855800856 40.74199873730372),106,40.742007,-73.98068,Not Ready for CX,A - Link Live,121496,395 3Rd Ave,304 NW,NY-MN,04/21/2016 12:00:00 AM +0000,mn-06-121496
48,LINK-000284,Manhattan,POINT (-73.97981155758833 40.74308473684459),106,40.743093,-73.979813,Not Ready for CX,A - Link Live,121506,429 3Rd Ave,9 N,NY-MN,05/11/2016 12:00:00 AM +0000,mn-06-121506
49,LINK-000286,Manhattan,POINT (-73.97965055839646 40.743945737115304),106,40.743954,-73.979652,Not Ready for CX,A - Link Live,121505,450 3Rd Ave,179 S,NY-MN,04/21/2016 12:00:00 AM +0000,mn-06-121505
50,LINK-000287,Manhattan,POINT (-73.97931455826199 40.743867736596826),106,40.743876,-73.979316,Not Ready for CX,A - Link Live,133465,451 3Rd Ave,291 W,NY-MN,11/21/2015 12:00:00 AM +0000,mn-06-133465
51,LINK-000292,Manhattan,POINT (-73.9784145576035 40.74510773576189),106,40.745116,-73.978416,Not Ready for CX,A - Link Live,121502,489 3Rd Ave,328 NW,NY-MN,02/02/2016 12:00:00 AM +0000,mn-06-121502
52,LINK-000297,Manhattan,POINT (-73.97744255915266 40.746440735921524),106,40.746449,-73.977444,Not Ready for CX,A - Link Live,121513,525 3Rd Ave,348 N,NY-MN,02/04/2016 12:00:00 AM +0000,mn-06-121513
53,LINK-000298,Manhattan,POINT (-73.97769355905052 40.74653373598201),106,40.746542,-73.977695,Not Ready for CX,A - Link Live,121512,528 3Rd Ave,101 E,NY-MN,11/12/2015 12:00:00 AM +0000,mn-06-121512
54,LINK-000302,Manhattan,POINT (-73.97696355846637 40.747663735892175),106,40.747672,-73.976965,Not Ready for CX,A - Link Live,138165,558 East 37Th St,6 N,NY-MN,05/11/2016 12:00:00 AM +0000,mn-06-138165
55,LINK-000303,Manhattan,POINT (-73.97678055941739 40.747781735710184),106,40.74779,-73.976782,Not Ready for CX,A - Link Live,121522,560 3Rd Ave,139 SE,NY-MN,11/14/2015 12:00:00 AM +0000,mn-06-121522
56,LINK-000304,Manhattan,POINT (-73.97610355912438 40.74828073615345),106,40.748289,-73.976105,Not Ready for CX,A - Link Live,121352,581B 3Rd Ave,335 NW,NY-MN,11/12/2015 12:00:00 AM +0000,mn-06-121352
57,LINK-000306,Manhattan,POINT (-73.97603255853785 40.748813734616206),106,40.748822,-73.976034,Not Ready for CX,A - Link Live,121519,596 3Rd Ave,153 SE,NY-MN,03/15/2016 12:00:00 AM +0000,mn-06-121519
58,LINK-000308,Manhattan,POINT (-73.97535855921406 40.74872373538941),106,40.748732,-73.97536,Not Ready for CX,A - Link Live,138030,605 3Rd Ave,238 SW,NY-MN,05/11/2016 12:00:00 AM +0000,mn-06-138030
59,LINK-000310,Manhattan,POINT (-73.97564655857376 40.74890573490589),106,40.748914,-73.975648,Not Ready for CX,A - Link Live,121364,605 3Rd Ave,336 NW,NY-MN,11/16/2015 12:00:00 AM +0000,mn-06-121364
60,LINK-000313,Manhattan,POINT (-73.9747395589045 40.7501477345529),106,40.750156,-73.974741,Not Ready for CX,A - Link Live,121527,639 3Rd Ave,326 NW,NY-MN,06/10/2016 12:00:00 AM +0000,mn-06-121527
61,LINK-000315,Manhattan,POINT (-73.97485655906871 40.750380734554156),106,40.750389,-73.974858,Not Ready for CX,A - Link Live,137977,640 3Rd Ave,106 E,NY-MN,12/01/2015 12:00:00 AM +0000,mn-06-137977
62,LINK-000316,Manhattan,POINT (-73.9744665590638 40.75095173520796),106,40.75096,-73.974468,Not Ready for CX,A - Link Live,121362,666 3Rd Ave,123 SE,NY-MN,11/12/2015 12:00:00 AM +0000,mn-06-121362
63,LINK-000317,Manhattan,POINT (-73.97414155882296 40.7513977345849),106,40.751406,-73.974143,Not Ready for CX,A - Link Live,121536,666 3Rd Ave,70 E,NY-MN,02/04/2016 12:00:00 AM +0000,mn-06-121536
64,LINK-000320,Manhattan,POINT (-73.97376355941951 40.751488735270975),106,40.751497,-73.973765,Not Ready for CX,A - Link Live,121535,685 3Rd Ave,317 NW,NY-MN,07/14/2016 12:00:00 AM +0000,mn-06-121535
65,LINK-000327,Manhattan,POINT (-73.97284056039386 40.75265773529336),106,40.752666,-73.972842,Not Ready for CX,A - Link Live,121358,721 3Rd Ave E45St,214 SW,NY-MN,12/01/2015 12:00:00 AM +0000,mn-06-121358
66,LINK-000328,Manhattan,POINT (-73.97244356017768 40.75318773535149),106,40.753196,-73.972445,Not Ready for CX,A - Link Live,121370,733 3Rd Ave,17 N,NY-MN,12/21/2015 12:00:00 AM +0000,mn-06-121370
67,LINK-000331,Manhattan,POINT (-73.97232455946337 40.75389073420895),106,40.753899,-73.972326,Not Ready for CX,A - Link Live,121816,750 3Rd Ave,78 E,NY-MN,11/21/2015 12:00:00 AM +0000,mn-06-121816
68,LINK-000333,Manhattan,POINT (-73.97217856018825 40.75408373409871),106,40.754092,-73.97218,Not Ready for CX,A - Link Live,133473,760 3Rd Ave,107 E,NY-MN,02/05/2016 12:00:00 AM +0000,mn-06-133473
69,LINK-000334,Manhattan,POINT (-73.97187755991672 40.75450473375631),106,40.754513,-73.971879,Not Ready for CX,A - Link Live,121813,768 3Rd Ave,100 E,NY-MN,01/27/2016 12:00:00 AM +0000,mn-06-121813
70,LINK-000335,Manhattan,POINT (-73.9710225601165 40.75522173386463),106,40.75523,-73.971024,Not Ready for CX,A - Link Live,121824,797 3Rd Ave,316 NW,NY-MN,11/12/2015 12:00:00 AM +0000,mn-06-121824
71,LINK-000336,Manhattan,POINT (-73.97103055995258 40.755865734040235),106,40.755874,-73.971032,Not Ready for CX,A - Link Live,121820,800 3Rd Ave,2 N,NY-MN,05/11/2016 12:00:00 AM +0000,mn-06-121820
72,LINK-000337,Manhattan,POINT (-73.9712635596504 40.755353733576214),106,40.755362,-73.971265,Not Ready for CX,A - Link Live,121822,800 3Rd Ave,102 E,NY-MN,11/19/2015 12:00:00 AM +0000,mn-06-121822
73,LINK-000338,Manhattan,POINT (-73.97014355963945 40.75631573405951),106,40.756324,-73.970145,Not Ready for CX,A - Link Live,121831,835 3Rd Ave,109 E,NY-MN,04/28/2016 12:00:00 AM +0000,mn-06-121831
74,LINK-000339,Manhattan,POINT (-73.97010555948661 40.75649473382937),106,40.756503,-73.970107,Not Ready for CX,A - Link Live,133472,845 3Rd Ave,324 NW,NY-MN,02/04/2016 12:00:00 AM +0000,mn-06-133472
75,LINK-000340,Manhattan,POINT (-73.96981156047897 40.756901734113335),106,40.75691,-73.969813,Not Ready for CX,A - Link Live,133477,845 3Rd Avenue,244 SW,NY-MN,03/01/2016 12:00:00 AM +0000,mn-06-133477
76,LINK-000349,Manhattan,POINT (-73.96898556143992 40.75850973290923),106,40.758518,-73.968987,Not Ready for CX,A - Link Live,135879,900 3Rd Ave,87 E,NY-MN,11/21/2015 12:00:00 AM +0000,mn-06-135879
77,LINK-000350,Manhattan,POINT (-73.96872556115571 40.75898473297412),106,40.758993,-73.968727,Not Ready for CX,A - Link Live,121842,906 3Rd Ave,1 N,NY-MN,05/23/2016 12:00:00 AM +0000,mn-06-121842
78,LINK-000351,Manhattan,POINT (-73.9687075608461 40.7583887334257),106,40.758397,-73.968709,Not Ready for CX,A - Link Live,121836,909 3Rd Avenue,149 SE,NY-MN,02/12/2016 12:00:00 AM +0000,mn-06-121836
79,LINK-000352,Manhattan,POINT (-73.96840856131914 40.758808732853645),106,40.758817,-73.96841,Not Ready for CX,A - Link Live,121854,909 3Rd Avenue,313 NW,NY-MN,02/12/2016 12:00:00 AM +0000,mn-06-121854
80,LINK-000355,Manhattan,POINT (-73.96824056046323 40.75960173334424),106,40.75961,-73.968242,Not Ready for CX,A - Link Live,121850,930 3Rd Ave,12 N,NY-MN,06/10/2016 12:00:00 AM +0000,mn-06-121850
81,LINK-000357,Manhattan,POINT (-73.9680465605508 40.75974773256546),106,40.759756,-73.968048,Not Ready for CX,A - Link Live,136181,936 3Rd Ave,96 E,NY-MN,02/19/2016 12:00:00 AM +0000,mn-06-136181
82,LINK-000359,Manhattan,POINT (-73.96759056075015 40.75999473339966),106,40.760003,-73.967592,Not Ready for CX,A - Link Live,133436,939 3Rd Avenue,309 NW,NY-MN,02/15/2016 12:00:00 AM +0000,mn-06-133436
83,LINK-000360,Manhattan,POINT (-73.96782456047441 40.759622732943456),106,40.759631,-73.967826,Not Ready for CX,A - Link Live,121849,949 3Rd Avenue,325 NW,NY-MN,02/15/2016 12:00:00 AM +0000,mn-06-121849
84,LINK-000361,Manhattan,POINT (-73.9677755606984 40.7601277331112),106,40.760136,-73.967777,Not Ready for CX,A - Link Live,121733,950 3Rd Ave,106 E,NY-MN,02/19/2016 12:00:00 AM +0000,mn-06-121733
85,LINK-000362,Manhattan,POINT (-73.96730156122916 40.76033773321932),106,40.760346,-73.967303,Not Ready for CX,A - Link Live,121857,953 3Rd Avenue,317 NW,NY-MN,05/31/2016 12:00:00 AM +0000,mn-06-121857
86,LINK-000363,Manhattan,POINT (-73.96754956109417 40.76045373341413),106,40.760462,-73.967551,Not Ready for CX,A - Link Live,138438,954 3Rd Ave,146 SE,NY-MN,02/19/2016 12:00:00 AM +0000,mn-06-138438
87,LINK-000369,Manhattan,POINT (-73.96638656073117 40.761595733248356),108,40.761604,-73.966388,Not Ready for CX,A - Link Live,121734,991 3Rd Ave,44 NE,NY-MN,02/20/2016 12:00:00 AM +0000,mn-08-121734
88,LINK-000447,Manhattan,POINT (-74.00259555118919 40.73943373840118),102,40.739442,-74.002597,Not Ready for CX,A - Link Live,128511,74 8 AVENUE,292 W,NY-MN,03/10/2016 12:00:00 AM +0000,mn-02-128511
89,LINK-000453,Manhattan,POINT (-74.00093855145828 40.74228873795509),104,40.742297,-74.00094,Not Ready for CX,A - Link Live,108537,159 8 Avenue,357 N,NY-MN,03/17/2016 12:00:00 AM +0000,mn-04-108537
90,LINK-000458,Manhattan,POINT (-73.98224555591044 40.76726273182558),105,40.767271,-73.982247,Not Ready for CX,A - Link Live,122628,1775 Broadway,12 N,NY-MN,03/02/2016 12:00:00 AM +0000,mn-05-122628
91,LINK-000462,Manhattan,POINT (-73.99990055193228 40.743573737129616),104,40.743582,-73.999902,Not Ready for CX,A - Link Live,123508,199 8 Avenue,43 NE,NY-MN,03/17/2016 12:00:00 AM +0000,mn-04-123508
92,LINK-000464,Manhattan,POINT (-73.99940355155178 40.74425473665272),104,40.744263,-73.999405,Not Ready for CX,A - Link Live,107977,221 8 Avenue,76 E,NY-MN,03/15/2016 12:00:00 AM +0000,mn-04-107977
93,LINK-000465,Manhattan,POINT (-73.9989915519943 40.74439473735931),104,40.744403,-73.998993,Not Ready for CX,A - Link Live,123501,232 8 Avenue,318 NW,NY-MN,03/07/2016 12:00:00 AM +0000,mn-04-123501
94,LINK-000466,Manhattan,POINT (-73.99916955183997 40.74458073663312),104,40.744589,-73.999171,Not Ready for CX,A - Link Live,108002,233 8 Avenue,60 NE,NY-MN,03/15/2016 12:00:00 AM +0000,mn-04-108002
95,LINK-000468,Manhattan,POINT (-73.9987345523295 40.74474173696125),104,40.74475,-73.998736,Not Ready for CX,A - Link Live,108509,238 8 Avenue,309 NW,NY-MN,03/15/2016 12:00:00 AM +0000,mn-04-108509
96,LINK-000469,Manhattan,POINT (-73.9964325515434 40.74789673635185),105,40.747905,-73.996434,Not Ready for CX,A - Link Live,137326,243 West 27Th St,327 NW,NY-MN,05/31/2016 12:00:00 AM +0000,mn-05-137326
97,LINK-000472,Manhattan,POINT (-73.98505955448174 40.76341573330275),105,40.763424,-73.985061,Not Ready for CX,A - Link Live,139276,260 West 52St,19 N,NY-MN,03/03/2016 12:00:00 AM +0000,mn-05-139276
98,LINK-000473,Manhattan,POINT (-73.99861655234466 40.7454367366916),104,40.745445,-73.998618,Not Ready for CX,A - Link Live,123646,261 West 23St,199 S,NY-MN,05/17/2016 12:00:00 AM +0000,mn-04-123646
99,LINK-000475,Manhattan,POINT (-73.98940755451571 40.75753573363937),105,40.757544,-73.989409,Not Ready for CX,A - Link Live,107818,670 8 AVENUE,321 NW,NY-MN,03/11/2016 12:00:00 AM +0000,mn-05-107818
100,LINK-000480,Manhattan,POINT (-73.98925055348232 40.75774473440629),105,40.757753,-73.989252,Not Ready for CX,A - Link Live,121354,270 West 43St,326 NW,NY-MN,03/10/2016 12:00:00 AM +0000,mn-05-121354
101,LINK-000483,Manhattan,POINT (-73.99775155218761 40.74592073720522),104,40.745929,-73.997753,Not Ready for CX,A - Link Live,139167,282 8 Avenue,245 SW,NY-MN,03/08/2016 12:00:00 AM +0000,mn-04-139167
102,LINK-000484,Manhattan,POINT (-73.98309955563067 40.766633732317594),104,40.766642,-73.983101,Not Ready for CX,A - Link Live,122503,300 West 57Th St,98 E,NY-MN,03/04/2016 12:00:00 AM +0000,mn-04-122503
103,LINK-000486,Manhattan,POINT (-73.9831485564673 40.766938732019575),104,40.766947,-73.98315,Not Ready for CX,A - Link Live,133373,301 West 57Th St,200 S,NY-MN,07/11/2016 12:00:00 AM +0000,mn-04-133373
104,LINK-000487,Manhattan,POINT (-73.98285355562973 40.766955732329095),104,40.766964,-73.982855,Not Ready for CX,A - Link Live,122621,302 West 57Th St,118 SE,NY-MN,07/14/2016 12:00:00 AM +0000,mn-04-122621
105,LINK-000489,Manhattan,POINT (-73.99233955313896 40.754129734719506),104,40.754138,-73.992341,Not Ready for CX,A - Link Live,122567,302 West 37St,7 N,NY-MN,03/03/2016 12:00:00 AM +0000,mn-04-122567
106,LINK-000493,Manhattan,POINT (-73.99713455204113 40.747372736947185),104,40.747381,-73.997136,Not Ready for CX,A - Link Live,123656,327 8 Avenue,104 E,NY-MN,04/11/2016 12:00:00 AM +0000,mn-04-123656
107,LINK-000496,Manhattan,POINT (-73.9955515524895 40.74911373617077),105,40.749122,-73.995553,Not Ready for CX,A - Link Live,136213,382 8 Avenue,344 N,NY-MN,03/15/2016 12:00:00 AM +0000,mn-05-136213
