OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
216,LINK-000942,Manhattan,POINT (-73.98189755542325 40.777128729570585),107,40.777137,-73.981899,Not Ready for CX,A - Link Live,121335,2040 BROADWAY,302 NW,NY-MN,04/13/2016 12:00:00 AM +0000,mn-07-121335
217,LINK-000945,Manhattan,POINT (-73.98217855479585 40.778598729879945),107,40.778607,-73.98218,Not Ready for CX,A - Link Live,108166,2077 BROADWAY,104 E,NY-MN,04/25/2016 12:00:00 AM +0000,mn-07-108166
218,LINK-000946,Manhattan,POINT (-73.98207255461679 40.77909072980008),107,40.779099,-73.982074,Not Ready for CX,A - Link Live,133403,2085 BROADWAY,80 E,NY-MN,04/20/2016 12:00:00 AM +0000,mn-07-133403
219,LINK-000947,Manhattan,POINT (-73.98198955528146 40.77932273032233),107,40.779331,-73.981991,Not Ready for CX,A - Link Live,133410,2095 BROADWAY,75 E,NY-MN,03/24/2016 12:00:00 AM +0000,mn-07-133410
220,LINK-000951,Manhattan,POINT (-73.98130755453415 40.78031272998017),107,40.780321,-73.981309,Not Ready for CX,A - Link Live,133408,2120 BROADWAY,318 NW,NY-MN,04/25/2016 12:00:00 AM +0000,mn-07-133408
221,LINK-000952,Manhattan,POINT (-73.98116655544878 40.780816728748434),107,40.780825,-73.981168,Not Ready for CX,A - Link Live,133406,2130 BROADWAY,307 NW,NY-MN,04/21/2016 12:00:00 AM +0000,mn-07-133406
222,LINK-000955,Manhattan,POINT (-73.98152255507573 40.78098472907689),107,40.780993,-73.981524,Not Ready for CX,A - Link Live,121315,2135 BROADWAY,101 E,NY-MN,03/31/2016 12:00:00 AM +0000,mn-07-121315
223,LINK-000957,Manhattan,POINT (-73.98095955553059 40.78146572872655),107,40.781474,-73.980961,Not Ready for CX,A - Link Live,109544,2150 BROADWAY,284 W,NY-MN,04/06/2016 12:00:00 AM +0000,mn-07-109544
224,LINK-000958,Manhattan,POINT (-73.98079155521678 40.78168572944942),107,40.781694,-73.980793,Not Ready for CX,A - Link Live,121223,2160 BROADWAY,240 SW,NY-MN,04/28/2016 12:00:00 AM +0000,mn-07-121223
225,LINK-000959,Manhattan,POINT (-73.98083155529869 40.78183472862633),107,40.781843,-73.980833,Not Ready for CX,A - Link Live,133404,2160 BROADWAY,291 W,NY-MN,05/17/2016 12:00:00 AM +0000,mn-07-133404
226,LINK-000963,Manhattan,POINT (-73.98058455541631 40.78251972862931),107,40.782528,-73.980586,Not Ready for CX,A - Link Live,121221,2182 BROADWAY,295 NW,NY-MN,05/19/2016 12:00:00 AM +0000,mn-07-121221
227,LINK-000968,Manhattan,POINT (-73.98025155519885 40.78318272938214),107,40.783191,-73.980253,Not Ready for CX,A - Link Live,121232,2200 BROADWAY,319 NW,NY-MN,04/15/2016 12:00:00 AM +0000,mn-07-121232
228,LINK-000978,Manhattan,POINT (-73.97877955625434 40.7849967286759),107,40.785005,-73.978781,Not Ready for CX,A - Link Live,121239,2252 BROADWAY,24 NE,NY-MN,04/18/2016 12:00:00 AM +0000,mn-07-121239
229,LINK-000985,Manhattan,POINT (-73.97829155599045 40.78580472779636),107,40.785813,-73.978293,Not Ready for CX,A - Link Live,121302,2282 BROADWAY,330 NW,NY-MN,03/31/2016 12:00:00 AM +0000,mn-07-121302
230,LINK-000987,Manhattan,POINT (-73.97798555547878 40.78621172779502),107,40.78622,-73.977987,Not Ready for CX,A - Link Live,133415,2298 BROADWAY,321 NW,NY-MN,03/31/2016 12:00:00 AM +0000,mn-07-133415
231,LINK-000989,Manhattan,POINT (-73.97769155591979 40.78619572788801),107,40.786204,-73.977693,Not Ready for CX,A - Link Live,136212,222 BROADWAY,12 N,NY-MN,03/25/2016 12:00:00 AM +0000,mn-07-136212
232,LINK-000991,Manhattan,POINT (-73.97829855625258 40.78639472756426),107,40.786403,-73.9783,Not Ready for CX,A - Link Live,121304,2299 BROADWAY,106 E,NY-MN,03/24/2016 12:00:00 AM +0000,mn-07-121304
233,LINK-000995,Manhattan,POINT (-73.97748155620842 40.78688772844058),107,40.786896,-73.977483,Not Ready for CX,A - Link Live,121247,2310 BROADWAY,320 NW,NY-MN,04/15/2016 12:00:00 AM +0000,mn-07-121247
234,LINK-000997,Manhattan,POINT (-73.97654355600432 40.787997727570776),107,40.788006,-73.976545,Not Ready for CX,A - Link Live,107814,2350 BROADWAY,335 NW,NY-MN,07/21/2016 12:00:00 AM +0000,mn-07-107814
235,LINK-001006,Bronx,POINT (-73.92684556971301 40.819877720435024),204,40.819886,-73.926847,Not Ready for CX,A - Link Live,140582,597 GRAND CONCOURSE,110 E,NY-BX,06/02/2016 12:00:00 AM +0000,bx-04-140582
236,LINK-001122,Queens,POINT (-73.8298016083624 40.71316173694103),409,40.71317,-73.829803,Not Ready for CX,A - Link Live,128371,80-55 KEW GARDENS ROAD,219 SW,NY-QU,07/19/2016 12:00:00 AM +0000,qu-09-128371
237,LINK-001123,Queens,POINT (-73.83626060572838 40.71765573683566),406,40.717664,-73.836262,Not Ready for CX,A - Link Live,124182,112-28 QUEENS BLVD,8 N,NY-QU,07/19/2016 12:00:00 AM +0000,qu-06-124182
238,LINK-001125,Queens,POINT (-73.83973960407705 40.71928473698618),406,40.719293,-73.839741,Not Ready for CX,A - Link Live,124180,110-44 QUEENS BLVD,4 N,NY-QU,07/19/2016 12:00:00 AM +0000,qu-06-124180
239,LINK-001354,Bronx,POINT (-73.89762257694095 40.86735370987083),207,40.867362,-73.897624,Not Ready for CX,A - Link Live,119760,2663 Jerome Ave,121 SE,NY-BX,06/29/2016 12:00:00 AM +0000,bx-07-119760
240,LINK-001365,Bronx,POINT (-73.90108957574104 40.857747712069276),205,40.857756,-73.901091,Not Ready for CX,A - Link Live,102420,126 East 183 street,22 N,NY-BX,05/11/2016 12:00:00 AM +0000,bx-05-102420
241,LINK-001488,Manhattan,POINT (-73.97429555699243 40.79089072705581),107,40.790899,-73.974297,Not Ready for CX,A - Link Live,121255,2440 Broadway,325 NW,NY-MN,05/19/2016 12:00:00 AM +0000,mn-07-121255
242,LINK-001490,Manhattan,POINT (-73.97480855718247 40.790809726840884),107,40.790818,-73.97481,Not Ready for CX,A - Link Live,121295,2431 Broadway,34 NE,NY-MN,05/26/2016 12:00:00 AM +0000,mn-07-121295
243,LINK-001492,Manhattan,POINT (-73.97382055705062 40.79139272659184),107,40.791401,-73.973822,Not Ready for CX,A - Link Live,121254,215 West 91st,224 SW,NY-MN,06/22/2016 12:00:00 AM +0000,mn-07-121254
244,LINK-001495,Manhattan,POINT (-73.9734235575377 40.7919347270617),107,40.791943,-73.973425,Not Ready for CX,A - Link Live,121253,214 West 92st,23 NE,NY-MN,05/26/2016 12:00:00 AM +0000,mn-07-121253
245,LINK-001502,Manhattan,POINT (-73.97203455644873 40.79381172705673),107,40.79382,-73.972036,Not Ready for CX,A - Link Live,107918,230 West 95 Street,28 NE,NY-MN,05/26/2016 12:00:00 AM +0000,mn-07-107918
246,LINK-001503,Manhattan,POINT (-73.97256655657914 40.79403272686285),107,40.794041,-73.972568,Not Ready for CX,A - Link Live,120596,250 West 95 Street,43 NE,NY-MN,05/19/2016 12:00:00 AM +0000,mn-07-120596
247,LINK-001507,Manhattan,POINT (-73.97104655749514 40.79516272567701),107,40.795171,-73.971048,Not Ready for CX,A - Link Live,120513,230 West 97 Street,16 N,NY-MN,05/26/2016 12:00:00 AM +0000,mn-07-120513
248,LINK-001543,Manhattan,POINT (-73.9706495575635 40.79675372555367),107,40.796762,-73.970651,Not Ready for CX,A - Link Live,107801,243 Broadway,195 S,NY-MN,07/08/2016 12:00:00 AM +0000,mn-07-107801
249,LINK-001556,Manhattan,POINT (-73.96832455773576 40.79894572468628),107,40.798954,-73.968326,Not Ready for CX,A - Link Live,120393,216 West 103st,25 NE,NY-MN,06/17/2016 12:00:00 AM +0000,mn-07-120393
250,LINK-001557,Manhattan,POINT (-73.96822855759788 40.79932172518176),107,40.79933,-73.96823,Not Ready for CX,A - Link Live,107810,2704 Broadway,315 NW,NY-MN,06/09/2016 12:00:00 AM +0000,mn-07-107810
251,LINK-001595,Manhattan,POINT (-73.96778055848478 40.800572724749905),107,40.800581,-73.967782,Not Ready for CX,A - Link Live,120391,2740 Broadway,281 W,NY-MN,06/22/2016 12:00:00 AM +0000,mn-07-120391
252,LINK-001600,Manhattan,POINT (-73.9674915575322 40.80211772525649),107,40.802126,-73.967493,Not Ready for CX,A - Link Live,120402,249 West 107 Street,229 SW,NY-MN,05/19/2016 12:00:00 AM +0000,mn-07-120402
253,LINK-001602,Manhattan,POINT (-73.96814755827306 40.80244672465824),107,40.802455,-73.968149,Not Ready for CX,A - Link Live,120266,2781 Broadway,108 E,NY-MN,05/19/2016 12:00:00 AM +0000,mn-07-120266
254,LINK-001604,Manhattan,POINT (-73.96737755828333 40.802935725131434),107,40.802944,-73.967379,Not Ready for CX,A - Link Live,120401,2800 Broadway,316 NW,NY-MN,05/26/2016 12:00:00 AM +0000,mn-07-120401
255,LINK-001605,Manhattan,POINT (-73.96737955826384 40.803712723746024),107,40.803721,-73.967381,Not Ready for CX,A - Link Live,120268,301 West 109st,204 SW,NY-MN,06/10/2016 12:00:00 AM +0000,mn-07-120268
256,LINK-001612,Manhattan,POINT (-73.96552455909301 40.80546372387955),109,40.805472,-73.965526,Not Ready for CX,A - Link Live,120409,2880 Broadway,305 NW,NY-MN,06/09/2016 12:00:00 AM +0000,mn-09-120409
257,LINK-001675,Manhattan,POINT (-73.97413355913778 40.75095173475159),106,40.75096,-73.974135,Not Ready for CX,A - Link Live,133439,675 3rd Ave,,NY-MN,07/14/2016 12:00:00 AM +0000,mn-06-133439
258,LINK-001676,Manhattan,POINT (-73.9650795587752 40.80591472434075),109,40.805923,-73.965081,Not Ready for CX,A - Link Live,120408,562 West 113 Street,26 NE,NY-MN,05/26/2016 12:00:00 AM +0000,mn-09-120408
259,LINK-001678,Manhattan,POINT (-73.95526556140719 40.820272720971396),9,40.820281,-73.955267,Not Ready for CX,A - Link Live,120374,601 West 135 Street,135 SE,NY-MN,06/10/2016 12:00:00 AM +0000,mn-09-120374
260,LINK-001680,Manhattan,POINT (-73.9548195606609 40.82076172098018),109,40.82077,-73.954821,Not Ready for CX,A - Link Live,120365,3359 Broadway,112 E,NY-MN,06/10/2016 12:00:00 AM +0000,mn-09-120365
261,LINK-001682,Manhattan,POINT (-73.95367456207806 40.822310719766556),109,40.822319,-73.953676,Not Ready for CX,A - Link Live,111128,3407 Broadway,147 SE,NY-MN,06/17/2016 12:00:00 AM +0000,mn-09-111128
262,LINK-001683,Manhattan,POINT (-73.95300556152728 40.82248672025553),109,40.822495,-73.953007,Not Ready for CX,A - Link Live,120419,572 West 139 Street,40 NE,NY-MN,05/10/2016 12:00:00 AM +0000,mn-09-120419
263,LINK-001684,Manhattan,POINT (-73.95303956253866 40.82331771987449),109,40.823326,-73.953041,Not Ready for CX,A - Link Live,120371,600 West 140 Street,308 NW,NY-MN,06/02/2016 12:00:00 AM +0000,mn-09-120371
264,LINK-001688,Manhattan,POINT (-73.96421055948639 40.80803072324397),109,40.808039,-73.964212,Not Ready for CX,A - Link Live,120262,600 West 116st,28 NE,NY-MN,05/19/2016 12:00:00 AM +0000,mn-09-120262
265,LINK-001695,Manhattan,POINT (-73.95159556210764 40.8245507200785),109,40.824559,-73.951597,Not Ready for CX,A - Link Live,111652,3480 Broadway,337 NW,NY-MN,05/26/2016 12:00:00 AM +0000,mn-09-111652
266,LINK-001696,Manhattan,POINT (-73.95165756250911 40.825082720208485),109,40.825091,-73.951659,Not Ready for CX,A - Link Live,120360,3497 Broadway,136 SE,NY-MN,06/02/2016 12:00:00 AM +0000,mn-09-120360
267,LINK-001699,Manhattan,POINT (-73.95090556187758 40.82549972008303),109,40.825508,-73.950907,Not Ready for CX,A - Link Live,111954,3514 Broadway,178 S,NY-MN,05/31/2016 12:00:00 AM +0000,mn-09-111954
268,LINK-001702,Manhattan,POINT (-73.95048056153675 40.82608171862886),109,40.82609,-73.950482,Not Ready for CX,A - Link Live,111651,3536 Broadway,237 SW,NY-MN,06/22/2016 12:00:00 AM +0000,mn-09-111651
269,LINK-001773,Bronx,POINT (-73.89872857568326 40.867618710268005),207,40.867627,-73.89873,Not Ready for CX,A - Link Live,119873,26 West Kingsbridge Rd,14 N,NY-BX,06/02/2016 12:00:00 AM +0000,bx-07-119873
270,LINK-001774,Bronx,POINT (-73.89957457602162 40.8678197104019),207,40.867828,-73.899576,Not Ready for CX,A - Link Live,119874,56 West Kingsbridge Road,21 N,NY-BX,06/29/2016 12:00:00 AM +0000,bx-07-119874
271,LINK-001780,Bronx,POINT (-73.90236757554888 40.86062171113188),205,40.86063,-73.902369,Not Ready for CX,A - Link Live,119606,2374 Jerome Ave,258 W,NY-BX,06/02/2016 12:00:00 AM +0000,bx-05-119606
272,LINK-001785,Bronx,POINT (-73.92174557144405 40.831458716959524),204,40.831467,-73.921747,Not Ready for CX,A - Link Live,119048,105 East 165 Street,183 S,NY-BX,05/09/2016 12:00:00 AM +0000,bx-04-119048
273,LINK-001787,Bronx,POINT (-73.9055515747744 40.853033712970785),205,40.853042,-73.905553,Not Ready for CX,A - Link Live,119590,104 East Burnside Ave,16 N,NY-BX,05/31/2016 12:00:00 AM +0000,bx-05-119590
274,LINK-001788,Bronx,POINT (-73.90540157483598 40.853148713432816),205,40.853157,-73.905403,Not Ready for CX,A - Link Live,119592,101 East Burnside Ave,208 SW,NY-BX,05/24/2016 12:00:00 AM +0000,bx-05-119592
275,LINK-001792,Bronx,POINT (-73.92836856994153 40.81893371975769),204,40.818942,-73.92837,Not Ready for CX,A - Link Live,119146,135 East 149st,262 W,NY-BX,05/09/2016 12:00:00 AM +0000,bx-04-119146
276,LINK-001827,Queens,POINT (-73.83351160663716 40.71574973697769),406,40.715758,-73.833513,Not Ready for CX,A - Link Live,124184,116-12 Queens Blvd,303 NW,NY-QU,07/19/2016 12:00:00 AM +0000,qu-06-124184
277,LINK-002058,Manhattan,POINT (-73.95002656173018 40.8273127188102),109,40.827321,-73.950028,Not Ready for CX,A - Link Live,111986,3569 Broadway,66 NE,NY-MN,07/13/2016 12:00:00 AM +0000,mn-09-111986
278,LINK-002059,Manhattan,POINT (-73.9495795624728 40.82792371918905),109,40.827932,-73.949581,Not Ready for CX,A - Link Live,111985,3581 Broadway,116 SE,NY-MN,07/14/2016 12:00:00 AM +0000,mn-09-111985
279,LINK-002061,Manhattan,POINT (-73.94928656261689 40.82757171859256),109,40.82758,-73.949288,Not Ready for CX,A - Link Live,120434,546 WEST 147ST,13 N,NY-MN,07/30/2016 12:00:00 AM +0000,mn-09-120434
280,LINK-002062,Manhattan,POINT (-73.94901556281091 40.82808871929308),109,40.828097,-73.949017,Not Ready for CX,A - Link Live,111874,3596 Broadway,312 NW,NY-MN,07/13/2016 12:00:00 AM +0000,mn-09-111874
281,LINK-002064,Manhattan,POINT (-73.94913356268233 40.82853471911778),109,40.828543,-73.949135,Not Ready for CX,A - Link Live,120352,3601 Broadway,104 E,NY-MN,07/11/2016 12:00:00 AM +0000,mn-09-120352
282,LINK-002065,Manhattan,POINT (-73.94886756288874 40.82902871934913),109,40.829037,-73.948869,Not Ready for CX,A - Link Live,120354,600 West 149st,359 N,NY-MN,07/14/2016 12:00:00 AM +0000,mn-09-120354
283,LINK-002068,Manhattan,POINT (-73.9478645624807 40.82966671943446),109,40.829675,-73.947866,Not Ready for CX,A - Link Live,102722,3642 BROADWAY,300 NW,NY-MN,07/11/2016 12:00:00 AM +0000,mn-09-102722
284,LINK-002070,Manhattan,POINT (-73.94790756259144 40.830199719299145),109,40.830208,-73.947909,Not Ready for CX,A - Link Live,120356,3659 Broadway,78 E,NY-MN,07/14/2016 12:00:00 AM +0000,mn-09-120356
285,LINK-002072,Manhattan,POINT (-73.94719356264352 40.83057771767796),109,40.830586,-73.947195,Not Ready for CX,A - Link Live,111931,3670 Broadway,305 NW,NY-MN,07/10/2016 12:00:00 AM +0000,mn-09-111931
286,LINK-002073,Manhattan,POINT (-73.94698456288397 40.830867717993705),109,40.830876,-73.946986,Not Ready for CX,A - Link Live,111936,3680 BROADWAY,305 NW,NY-MN,07/21/2016 12:00:00 AM +0000,mn-09-111936
287,LINK-002084,Manhattan,POINT (-73.94278556432683 40.83649271700174),112,40.836501,-73.942787,Not Ready for CX,A - Link Live,120445,581 WEST 161 STREET,17 N,NY-MN,07/07/2016 12:00:00 AM +0000,mn-12-120445
288,LINK-002679,Manhattan,POINT (-74.00152155305601 40.717475743083675),101,40.717484,-74.001523,Not Ready for CX,A - Link Live,137940,90 LAFAYETTE STREET,130 SE,NY-MN,07/11/2016 12:00:00 AM +0000,mn-01-137940
289,LINK-002680,Manhattan,POINT (-74.00174155259998 40.71723474276761),101,40.717243,-74.001743,Not Ready for CX,A - Link Live,137333,80 LAFAYETTE STREET,70 E,NY-MN,07/12/2016 12:00:00 AM +0000,mn-01-137333
290,LINK-002682,Manhattan,POINT (-74.00256855167386 40.71602474334725),101,40.716033,-74.00257,Not Ready for CX,A - Link Live,123431,45 LAFAYETTE STREET,331 NW,NY-MN,07/11/2016 12:00:00 AM +0000,mn-01-123431
291,LINK-003244,Manhattan,POINT (-73.9933415547652 40.721707741299326),103,40.721716,-73.993343,Not Ready for CX,A - Link Live,108238,217 BOWERY,285 W,NY-MN,07/20/2016 12:00:00 AM +0000,mn-03-108238
292,LINK-003247,Manhattan,POINT (-73.99407655519168 40.72058874161353),102,40.720597,-73.994078,Not Ready for CX,A - Link Live,100727,178 BOWERY,111 E,NY-MN,07/11/2016 12:00:00 AM +0000,mn-02-100727
293,LINK-003249,Manhattan,POINT (-73.99405655518251 40.71989674210812),103,40.719905,-73.994058,Not Ready for CX,A - Link Live,108589,169 BOWERY,299 NW,NY-MN,07/11/2016 12:00:00 AM +0000,mn-03-108589
294,LINK-003917,Manhattan,POINT (-73.9669155591697 40.80357072424611),107,40.803579,-73.966917,Not Ready for CX,A - Link Live,120400,2820 BROADWAY,,NY-MN,06/10/2016 12:00:00 AM +0000,mn-07-120400
295,LINK-003918,Manhattan,POINT (-73.96599355865384 40.80482672357713),109,40.804835,-73.965995,Not Ready for CX,A - Link Live,120396,2858 BROADWAY,,NY-MN,06/22/2016 12:00:00 AM +0000,mn-09-120396
296,LINK-005211,Manhattan,POINT (-73.95275356210968 40.8183627214415),109,40.818371,-73.952755,Not Ready for CX,A - Link Live,111948,1500 AMSTERDAM AVENUE,131 SE,NY-MN,07/13/2016 12:00:00 AM +0000,mn-09-111948
297,LINK-005221,Manhattan,POINT (-73.94695056370401 40.82593871872952),109,40.825947,-73.946952,Not Ready for CX,A - Link Live,120576,1739 AMSTERDAM AVENUE,315 NW,NY-MN,07/13/2016 12:00:00 AM +0000,mn-09-120576
298,LINK-005427,Bronx,POINT (-73.9252215702867 40.82734671838177),204,40.827355,-73.925223,Not Ready for CX,A - Link Live,119159,72 EAST 161 STREET,358 N,NY-BX,06/24/2016 12:00:00 AM +0000,bx-04-119159
299,LINK-005430,Bronx,POINT (-73.92484057106056 40.827819717975245),204,40.827828,-73.924842,Not Ready for CX,A - Link Live,113552,875 GERARD AVENUE,91 E,NY-BX,06/29/2016 12:00:00 AM +0000,bx-04-113552
300,LINK-005877,Manhattan,POINT (-73.95213256202044 40.82456971957418),109,40.824578,-73.952134,Not Ready for CX,A - Link Live,120359,600 WEST 142 STREET,,NY-MN,07/05/2016 12:00:00 AM +0000,mn-09-120359
301,LINK-005878,Manhattan,POINT (-73.95349756249097 40.82269471997466),109,40.822703,-73.953499,Not Ready for CX,A - Link Live,120370,600 WEST 139 STREET,,NY-MN,07/05/2016 12:00:00 AM +0000,mn-09-120370
302,LINK-005879,Manhattan,POINT (-73.95330856213732 40.82190971992552),109,40.821918,-73.95331,Not Ready for CX,A - Link Live,120422,551 WEST 138 STREET,,NY-MN,07/10/2016 12:00:00 AM +0000,mn-09-120422
303,LINK-005882,Manhattan,POINT (-73.9593485599752 40.81448772173148),109,40.814496,-73.95935,Not Ready for CX,A - Link Live,136680,3153 BROADWAY,103 E,NY-MN,07/09/2016 12:00:00 AM +0000,mn-09-136680
304,LINK-005931,Manhattan,POINT (-73.96605055853439 40.80550772435088),109,40.805516,-73.966052,Not Ready for CX,A - Link Live,120269,602 WEST 112 STREET,,NY-MN,06/30/2016 12:00:00 AM +0000,mn-09-120269
305,LINK-006026,Manhattan,POINT (-73.93903956847012 40.7994987236227),111,40.799507,-73.939041,Not Ready for CX,A - Link Live,107943,2166 3RD AVENUE,120 SE,NY-MN,05/23/2016 12:00:00 AM +0000,mn-11-107943
306,LINK-006027,Manhattan,POINT (-73.944779566332 40.79119372569899),111,40.791202,-73.944781,Not Ready for CX,A - Link Live,132876,1915 3RD AVENUE,300 NW,NY-MN,05/19/2016 12:00:00 AM +0000,mn-11-132876
307,LINK-006032,Manhattan,POINT (-73.94644156427037 40.82718471871381),109,40.827193,-73.946443,Not Ready for CX,A - Link Live,100231,500 WEST 148 STREET,10 N,NY-MN,07/18/2016 12:00:00 AM +0000,mn-09-100231
308,LINK-006033,Manhattan,POINT (-73.94604156437764 40.8271867186487),109,40.827195,-73.946043,Not Ready for CX,A - Link Live,120573,1781 AMSTERDAM AVE,302 NW,NY-MN,07/18/2016 12:00:00 AM +0000,mn-09-120573
309,LINK-006035,Manhattan,POINT (-73.94372056412169 40.83035871818038),109,40.830367,-73.943722,Not Ready for CX,A - Link Live,131062,1881 AMSTERDAM AVE,301 NW,NY-MN,07/18/2016 12:00:00 AM +0000,mn-09-131062
310,LINK-006037,Manhattan,POINT (-73.94232556511712 40.832274717642946),112,40.832283,-73.942327,Not Ready for CX,A - Link Live,120463,1941 AMSTERDAM AVE,314 NW,NY-MN,07/12/2016 12:00:00 AM +0000,mn-12-120463
311,LINK-006038,Manhattan,POINT (-73.94226656451549 40.83272371793961),112,40.832732,-73.942268,Not Ready for CX,A - Link Live,111956,1952 AMSTERDAM AVE,134 SE,NY-MN,07/14/2016 12:00:00 AM +0000,mn-12-111956
312,LINK-006039,Manhattan,POINT (-73.94173856515081 40.83343871788866),112,40.833447,-73.94174,Not Ready for CX,A - Link Live,120460,1976 AMSTERDAM AVE,,NY-MN,07/14/2016 12:00:00 AM +0000,mn-12-120460
313,LINK-006040,Manhattan,POINT (-73.94144556514941 40.83385271768378),112,40.833861,-73.941447,Not Ready for CX,A - Link Live,100263,1988 AMSTERDAM AVE,127 SE,NY-MN,07/13/2016 12:00:00 AM +0000,mn-12-100263
314,LINK-006041,Manhattan,POINT (-73.94116156484837 40.83423871772693),112,40.834247,-73.941163,Not Ready for CX,A - Link Live,111803,2002 AMSTERDAM AVE,133 SE,NY-MN,07/14/2016 12:00:00 AM +0000,mn-12-111803
315,LINK-006042,Manhattan,POINT (-73.94091756460452 40.83406971788345),112,40.834078,-73.940919,Not Ready for CX,A - Link Live,120458,481 WEST 159 STREET,220 SW,NY-MN,07/14/2016 12:00:00 AM +0000,mn-12-120458
316,LINK-006043,Manhattan,POINT (-73.94047556512997 40.83480671717777),112,40.834815,-73.940477,Not Ready for CX,A - Link Live,120457,2017 AMSTERDAM AVE,,NY-MN,07/13/2016 12:00:00 AM +0000,mn-12-120457
317,LINK-006150,Manhattan,POINT (-73.96927955820932 40.798526725945635),107,40.798535,-73.969281,Not Ready for CX,A - Link Live,120273,240 WEST 102 STREET,,NY-MN,07/20/2016 12:00:00 AM +0000,mn-07-120273
318,LINK-006861,Queens,POINT (-73.83818260510813 40.71859373726714),406,40.718602,-73.838184,Not Ready for CX,A - Link Live,124181,110-88 QUEENS BLVD,,NY-QU,07/19/2016 12:00:00 AM +0000,qu-06-124181
319,LINK-007143,Manhattan,POINT (-73.98277555535277 40.7772187297901),107,40.777227,-73.982777,Not Ready for CX,A - Link Live,121203,222 AMSTERDAM AVE,74 E,NY-MN,07/18/2016 12:00:00 AM +0000,mn-07-121203
320,LINK-007145,Manhattan,POINT (-73.98324555500649 40.77599072986487),107,40.775999,-73.983247,Not Ready for CX,A - Link Live,138046,155 WEST 68 STREET,214 SW,NY-MN,07/14/2016 12:00:00 AM +0000,mn-07-138046
321,LINK-007147,Manhattan,POINT (-73.98362555474752 40.776057729649274),107,40.776066,-73.983627,Not Ready for CX,A - Link Live,121193,174 AMSTERDAM AVE,114 SE,NY-MN,07/12/2016 12:00:00 AM +0000,mn-07-121193
322,LINK-007876,Manhattan,POINT (-73.95806756247572 40.772997730399865),108,40.773006,-73.958069,Not Ready for CX,A - Link Live,120996,1349 3 AVENUE,306 NW,NY-MN,07/06/2016 12:00:00 AM +0000,mn-08-120996
323,LINK-008229,Manhattan,POINT (-73.99345255552845 40.7214167408053),103,40.721425,-73.993454,Not Ready for CX,A - Link Live,100726,211 BOWERY,264 W,NY-MN,07/20/2016 12:00:00 AM +0000,mn-03-100726
